,east,north,vertical,e_std,n_std,v_std
2008-07-02,-1.199969196916527,1.0678871815358661,1.1945899925792105,0.723,1.01,3.382
2008-07-03,-0.6057813448024945,0.009200258833857333,0.581189031019619,0.7240000000000001,1.002,3.3800000000000003
2008-07-04,0.7790629298117437,0.7167042586326033,0.5092658607098883,0.7290000000000001,1.016,3.447
2008-07-05,3.314284013175893,0.7650226296805158,-0.9871760920996735,0.722,1.017,3.3840000000000003
2008-07-06,1.2899346815399895,-1.8086470117709723,-2.242805392409423,0.7150000000000001,1.015,3.379
2008-07-07,0.0351626011541839,,-2.921082115218894,0.7390000000000001,,3.439
2008-07-08,-0.852618817981579,-0.15117259717555953,-5.53111373927868,0.725,1.009,3.383
2008-07-09,1.2468954466327204,0.8993866388728975,-0.09476796333831317,0.7200000000000001,1.009,3.366
2008-07-10,-0.7822961400029271,-2.9026530200781053,8.282557256351993,0.755,1.064,3.565
2008-07-11,-1.2689532353887216,0.17379715596928236,1.9638764235424446,0.7599999999999999,1.0539999999999998,3.4920000000000004
2008-07-12,-0.7174914670248427,-0.8496815029822073,-3.2381513017672887,0.731,1.013,3.4340000000000006
2008-07-13,-1.6510340436602746,-0.6451400956838143,-4.669198822077021,0.7290000000000001,1.031,3.428
2008-07-14,-2.751053451546568,-2.149550920886327,6.010713870113307,0.7150000000000001,1.021,3.387
2008-07-15,-1.0714333969320933,-1.1832222060877484,-1.9317964914462777,0.7150000000000001,1.0,3.3350000000000004
2008-07-16,0.5603009701821975,1.038678726210719,-0.011532669255871042,0.728,1.026,3.419
2008-07-17,-1.4966757877036798,-1.021865822740665,-4.675922283315629,0.7170000000000001,0.995,3.362
2008-07-18,1.8644273881607205,-1.6339101629431525,-3.853871268625312,0.718,1.029,3.4340000000000006
2008-07-19,-1.6552553434753463,-0.8311109818947671,0.3734670910649811,0.728,1.052,3.4960000000000004
2008-07-20,-2.397809750111037,1.4989419866535627,7.84311067700537,0.7240000000000001,1.012,3.401
2008-07-21,-1.661259760496705,0.8077185039511505,-0.9349451583043447,0.728,1.02,3.3760000000000003
2008-07-22,0.11546919911734221,0.6890943699997933,4.850309913886065,0.727,1.017,3.426
2008-07-23,0.993780931231754,-1.6193876777014111,-2.113779993923515,0.7160000000000001,1.029,3.367
2008-07-24,0.29603705834563243,-0.03269320165418321,0.12894898451668269,0.721,1.011,3.3810000000000002
2008-07-25,0.2450874817100157,-0.9528054481056643,-4.498644259542914,0.7140000000000001,1.015,3.347
2008-07-26,0.2830037825741556,0.014238804192814314,5.256558722647355,0.722,1.0,3.372
2008-07-27,-0.7977332953116729,-0.4629449147594187,0.6767705835878814,0.7170000000000001,0.998,3.37
2008-07-28,0.18609855805254938,-0.7776721299608198,0.013148873278055362,0.726,1.0510000000000002,3.355
2008-07-29,3.128519356416632,-0.9373436701625906,5.158818440468451,0.7140000000000001,1.033,3.4210000000000003
2008-07-30,1.2960996047809203,0.98354746088512,-4.9264019935912415,0.718,1.031,3.455
2008-07-31,0.04502951314498205,-0.654978700566403,4.793883836099212,0.708,0.997,3.3110000000000004
2008-08-01,0.4294180965093801,-0.6746548632680742,5.681210598289454,0.7160000000000001,1.014,3.382
2008-08-02,-0.4280304676266269,-1.5495949997205116,5.96375547797976,0.7200000000000001,1.014,3.365
2008-08-03,0.566866400737922,0.05599088507790384,0.2537868164200745,0.7290000000000001,1.025,3.415
